Airline,ARPT,Count of YEAR,Average of ARR_DELAY_NEW,Average of ARR_DELAY,Average of DEP_DELAY_NEW,Average of DEP_DELAY
Alaska Airlines,ATL,652,10.46379045,2.392912173,10.68711656,8.142638037
Alaska Airlines,IAH,650,13.95216049,7.134259259,12.29230769,9.573846154
Alaska Airlines,STL,643,8.614307932,-1.488335925,7.426127527,1.569206843
Alaska Airlines,ADQ,613,7.513866232,-0.075040783,6.517128874,-2.030995106
Alaska Airlines,ABQ,550,12.2189781,4.447080292,12.57636364,8.523636364
Alaska Airlines,SAT,531,8.658490566,-0.866037736,7.150659134,1.996233522
Alaska Airlines,TUS,514,8.654296875,-0.79296875,7.359922179,0.809338521
Alaska Airlines,DTW,443,8.031674208,-2.712669683,6.663656885,2.410835214
Alaska Airlines,TPA,443,10.66063348,-0.79638009,10.44018059,6.577878104
Alaska Airlines,OMA,362,5.939058172,-5.847645429,4.743093923,-1.276243094
Alaska Airlines,PIT,362,9.069252078,-1,7.171270718,0.740331492
Alaska Airlines,IND,361,12.30277778,1.908333333,12.84210526,8.836565097
Alaska Airlines,MKE,361,6.638888889,-8.441666667,5.764542936,-0.861495845
Alaska Airlines,SBA,358,7.882681564,-1.446927374,7.131284916,0.134078212
Alaska Airlines,CMH,299,22.71283784,17.26689189,19.88628763,15.82608696
Alaska Airlines,CHS,282,7.771428571,-7.885714286,8.276595745,1.929078014
Alaska Airlines,BLI,206,9.019512195,-2.102439024,5.922330097,-1.412621359
Alaska Airlines,RNO,170,11.82941176,2.376470588,11.38823529,6.4
Alaska Airlines,DAL,122,5.917355372,-16.48760331,7.491803279,2.295081967
Alaska Airlines,ADK,98,19.59183673,12.52040816,20.56122449,15.5
Alaska Airlines,DLG,82,7.304878049,-0.597560976,7.475609756,0.329268293
Alaska Airlines,GST,82,7.963414634,-2.792682927,6.231707317,-6.926829268
Alaska Airlines,AKN,61,2.883333333,-2.65,2.344262295,-3.672131148
Alaska Airlines,OKC,57,6.684210526,-17.61403509,10.98245614,7.070175439
B6,JFK,8586,14.97263798,-0.784728718,13.76310273,9.756929886
B6,LAX,6360,12.43163877,-2.474897379,13.8418239,9.725786164
B6,BOS,4926,18.02094773,6.46247712,16.73873325,13.02009744
B6,SFO,4583,18.48300811,5.310238983,19.18241327,15.63255509
B6,FLL,1873,15.30715812,5.004807692,14.13774693,9.916177256
B6,SEA,1469,19.48563611,7.460328317,21.92716133,18.99795779
B6,LAS,1218,17.37644152,2.809719934,19.56403941,15.23563218
B6,SAN,844,12.87410926,-3.56175772,14.29976303,8.789099526
B6,PDX,574,25.14586995,14.02636204,28.05574913,24.32404181
B6,SJC,325,22.91021672,13.73374613,26.93846154,23.38769231
B6,PSP,192,12.86315789,-1.168421053,19.02083333,14.45833333
